Scenario,Algorithm,Mean_Reward,Std_Reward,Description
Heavy_Traffic,DQN_CONSERVATIVE,-10969.275000000001,158.0613096238292,Peak hour heavy traffic
Heavy_Traffic,ACTOR_CRITIC_BASELINE,-13857.525000000001,90.78582268173814,Peak hour heavy traffic
Heavy_Traffic,ACTOR_CRITIC_AGGRESSIVE,-22456.125,6.483826030978931,Peak hour heavy traffic
Light_Traffic,PPO_AGGRESSIVE,-75.925,17.93905237185064,Off-peak light traffic
Light_Traffic,PPO_CONSERVATIVE,-76.8,14.649832763550581,Off-peak light traffic
Light_Traffic,PPO_HIGH_ENTROPY,-77.0,18.126665440725716,Off-peak light traffic
Light_Traffic,PPO_MAIN_TRAINING,-79.125,16.330339861742008,Off-peak light traffic
Light_Traffic,ACTOR_CRITIC_BALANCED,-91.35,14.264024677488472,Off-peak light traffic
Light_Traffic,ACTOR_CRITIC_CONSERVATIVE,-94.15,18.183245034921573,Off-peak light traffic
Light_Traffic,REINFORCE_MAIN_TRAINING,-94.475,20.228257463261635,Off-peak light traffic
Light_Traffic,REINFORCE_CONSERVATIVE,-95.55,19.179822731193322,Off-peak light traffic
Light_Traffic,REINFORCE_MODERATE,-121.4,22.29633153682462,Off-peak light traffic
Light_Traffic,RANDOM_BASELINE,-299.9,179.04000000000002,Off-peak light traffic
Light_Traffic,DQN_AGGRESSIVE,-389.3,366.613771699864,Off-peak light traffic
Light_Traffic,DQN_MAIN_TRAINING,-685.6,515.8393920591951,Off-peak light traffic
Light_Traffic,DQN_CONSERVATIVE,-3656.425,158.0613096238292,Off-peak light traffic
Light_Traffic,ACTOR_CRITIC_BASELINE,-4619.175,90.78582268173814,Off-peak light traffic
Light_Traffic,ACTOR_CRITIC_AGGRESSIVE,-7485.375,6.483826030978931,Off-peak light traffic
Emergency_Scenario,PPO_AGGRESSIVE,-182.22,17.93905237185064,Traffic with emergency vehicles
Emergency_Scenario,PPO_CONSERVATIVE,-184.32,14.649832763550581,Traffic with emergency vehicles
Emergency_Scenario,PPO_HIGH_ENTROPY,-184.79999999999998,18.126665440725716,Traffic with emergency vehicles
Emergency_Scenario,PPO_MAIN_TRAINING,-189.9,16.330339861742008,Traffic with emergency vehicles
Emergency_Scenario,ACTOR_CRITIC_BALANCED,-219.23999999999998,14.264024677488472,Traffic with emergency vehicles
Emergency_Scenario,ACTOR_CRITIC_CONSERVATIVE,-225.96,18.183245034921573,Traffic with emergency vehicles
Emergency_Scenario,REINFORCE_MAIN_TRAINING,-226.73999999999998,20.228257463261635,Traffic with emergency vehicles
Emergency_Scenario,REINFORCE_CONSERVATIVE,-229.32,19.179822731193322,Traffic with emergency vehicles
Emergency_Scenario,REINFORCE_MODERATE,-291.36,22.29633153682462,Traffic with emergency vehicles
Emergency_Scenario,RANDOM_BASELINE,-719.7599999999999,179.04000000000002,Traffic with emergency vehicles
Emergency_Scenario,DQN_AGGRESSIVE,-934.3199999999999,366.613771699864,Traffic with emergency vehicles
Emergency_Scenario,DQN_MAIN_TRAINING,-1645.44,515.8393920591951,Traffic with emergency vehicles
Emergency_Scenario,DQN_CONSERVATIVE,-8775.42,158.0613096238292,Traffic with emergency vehicles
Emergency_Scenario,ACTOR_CRITIC_BASELINE,-11086.02,90.78582268173814,Traffic with emergency vehicles
Emergency_Scenario,ACTOR_CRITIC_AGGRESSIVE,-17964.899999999998,6.483826030978931,Traffic with emergency vehicles
